0.004	0.231	INDEF	0.827
0.005	0.708	0.645	0.803
0.002	INDEF	0.279	0.617
0.003	INDEF	1.952	1.256
0.003	0.397	0.008	0.246
0.003	0.976	0.291	0.616
0.003	INDEF	0.103	0.001
0.003	0.623	0.102	0.001
0.003	0.924	0.274	0.27
0.003	0.82	0.3	    0.177
0.003	INDEF	5.52	0.432
0.003	0.729	0.153	0.452
0.003	1.221	0.48	0.274
0.003	0.328	0.205	1.972
0.003	0.663	0.157	0.77
0.003	1.374	0.007	0.304
0.003	14.826	0.758	0.819
0.003	INDEF	0.007	0.51
0.003	0.499	0.155	INDEF
0.003	0.635	0.305	0.56
0.003	INDEF	0.518	0.462
0.003	INDEF	0.007	0.263
0.003	0.587	0.118	0.313
0.003	0.818	0.008	0.44
0.003	0.776	0.286	0.321
0.003	 INDEF	0.007	0.763
0.003	2.36	0.082	0.216
0.003	0.474	0.105	0.726
0.003	0.869	0.422	0.586
0.003	0.429	0.121	0.002
0.003	INDEF	0.176	0.278
0.003	0.498	0.099	0.275
0.003	0.401	INDEF	1.018
0.003	INDEF	1.627	1.716
0.003	0.98	0.007	0.392
0.003	0.595	INDEF	0.436
0.003	INDEF	INDEF	0.503
0.003	INDEF	0.008	0.863
0.003	INDEF	0.368	0.441
0.003	0.617	INDEF	0.437
0.003	INDEF	INDEF	0.453
0.003	7.424	0.008	0.168
0.003	0.476	0.007	0.001
0.003	INDEF	0.008	0.496
0.003	INDEF	0.007	0.769
0.003	INDEF	0.293	1.009
0.003	0.321	0.4	    0.981
0.003	INDEF	1.059	1.368
0.003	INDEF	0.098	0.944
0.003	INDEF	0.059	0.254
0.003	5.309	0.195	0.226
0.003	INDEF	0.111	1.494
0.003	2.102	0.008	4.287
0.003	INDEF	0.469	0.213
0.003	INDEF	0.691	INDEF
0.003	20.952	0.401	0.001
0.008	0.905	1.576	INDEF
0.006	0.457	INDEF	0.411
0.006	INDEF	INDEF	2.119
0.005	0.831	INDEF	INDEF
0.004	INDEF	INDEF	INDEF
0.004	INDEF	INDEF	INDEF
0.005	5.047	0.741	0.714
0.005	INDEF	INDEF	0.827
0.005	INDEF	INDEF	5.012
0.004	INDEF	INDEF	2.422
0.004	INDEF	INDEF	1.48
0.004	INDEF	INDEF	INDEF
0.004	0.895	INDEF	0.651
0.004	INDEF	0.884	INDEF
0.004	INDEF	INDEF	INDEF
0.004	INDEF	INDEF	0.858
0.004	INDEF	5.188	INDEF
0.004	INDEF	0.77	0.402
0.004	INDEF	2.085	INDEF
0.003	INDEF	INDEF	INDEF
0.003	8.207	INDEF	INDEF
0.003	INDEF	INDEF	INDEF
0.004	INDEF	INDEF	3.669
0.003	INDEF	INDEF	INDEF
0.003	INDEF	INDEF	INDEF
0.003	INDEF	INDEF	7.342
0.003	INDEF	INDEF	2.409
0.003	8.679	INDEF	1.196
0.004	INDEF	INDEF	INDEF
0.003	7.673	INDEF	INDEF
0.003	INDEF	INDEF	0.769
0.003	INDEF	INDEF	1.791
0.003	INDEF	INDEF	INDEF
0.003	1.93	INDEF	INDEF
0.003	INDEF	INDEF	20.444
0.003	0.245	INDEF	INDEF
0.003	INDEF	INDEF	INDEF
0.003	INDEF	INDEF	INDEF
0.003	INDEF	INDEF	0.311
0.003	INDEF	INDEF	INDEF
0.003	INDEF	INDEF	INDEF
0.004	2.104	INDEF	INDEF
0.003	0.917	46.781	INDEF
0.003	INDEF	INDEF	INDEF
0.004	INDEF	INDEF	1.178
