time,current,voltage,power,error
75,0.07,0.396,0.02772,0.003960619
90,0.07,0.358,0.02506,0.003580684
105,0.06,0.329,0.01974,0.003290547
120,0.06,0.302,0.01812,0.003020596
135,0.05,0.276,0.0138,0.002760453
150,0.05,0.253,0.01265,0.002530494
165,0.04,0.233,0.00932,0.002330343
180,0.04,0.214,0.00856,0.002140374
195,0.03,0.198,0.00594,0.001980227
210,0.03,0.181,0.00543,0.001810249
225,0.03,0.166,0.00498,0.001660271
240,0.02,0.153,0.00306,0.001530131
255,0.02,0.14,0.0028,0.001400143
270,0.02,0.129,0.00258,0.001290155
285,0.02,0.118,0.00236,0.001180169
300,0.01,0.105,0.00105,0.001050048
