Adjusted Timestamp,Timestamp,UTC,Callsign,Latitude,Longitude,Altitude,Speed,Direction
-4286,1580986330,2020-02-06T10:52:10Z,STK42BR,51.847939,-8.490539,0,9,70
-4268,1580986348,2020-02-06T10:52:28Z,STK42BR,51.847847,-8.490887,0,10,67
-4257,1580986359,2020-02-06T10:52:39Z,STK42BR,51.84779,-8.491114,0,10,73
-4246,1580986370,2020-02-06T10:52:50Z,STK42BR,51.84774,-8.491325,0,10,73
-4230,1580986386,2020-02-06T10:53:06Z,STK42BR,51.847675,-8.491671,0,10,47
-4214,1580986402,2020-02-06T10:53:22Z,STK42BR,51.847542,-8.491879,0,9,354
-4190,1580986426,2020-02-06T10:53:46Z,STK42BR,51.84774,-8.491364,0,2,340
-4028,1580986588,2020-02-06T10:56:28Z,STK42BR,51.847458,-8.491894,0,17,334
-4018,1580986598,2020-02-06T10:56:38Z,STK42BR,51.847797,-8.492069,0,24,345
-4011,1580986605,2020-02-06T10:56:45Z,STK42BR,51.848225,-8.492228,0,30,345
-4001,1580986615,2020-02-06T10:56:55Z,STK42BR,51.848869,-8.492527,0,15,340
-3988,1580986628,2020-02-06T10:57:08Z,STK42BR,51.849651,-8.49287,0,34,343
-3976,1580986640,2020-02-06T10:57:20Z,STK42BR,51.850464,-8.493328,0,15,340
-3968,1580986648,2020-02-06T10:57:28Z,STK42BR,51.850952,-8.493633,0,20,337
-3955,1580986661,2020-02-06T10:57:41Z,STK42BR,51.85128,-8.49386,0,18,331
-3946,1580986670,2020-02-06T10:57:50Z,STK42BR,51.851418,-8.49425,0,20,292
-3940,1580986676,2020-02-06T10:57:56Z,STK42BR,51.851406,-8.494566,0,15,270
-3933,1580986683,2020-02-06T10:58:03Z,STK42BR,51.851315,-8.494816,0,20,236
-3923,1580986693,2020-02-06T10:58:13Z,STK42BR,51.850929,-8.495159,0,23,202
-3916,1580986700,2020-02-06T10:58:20Z,STK42BR,51.850628,-8.495369,0,27,202
-3910,1580986706,2020-02-06T10:58:26Z,STK42BR,51.850307,-8.495624,0,31,205
-3901,1580986715,2020-02-06T10:58:35Z,STK42BR,51.849941,-8.495998,0,23,213
-3893,1580986723,2020-02-06T10:58:43Z,STK42BR,51.849621,-8.496051,0,20,168
-3873,1580986743,2020-02-06T10:59:03Z,STK42BR,51.84938,-8.495902,0,30,157
-3865,1580986751,2020-02-06T10:59:11Z,STK42BR,51.847858,-8.495007,0,61,157
-3845,1580986771,2020-02-06T10:59:31Z,STK42BR,51.838852,-8.489685,275,116,159
