Adjusted Timestamp,Timestamp,UTC,Callsign,Latitude,Longitude,Altitude,Speed,Direction
-8926,1580983204,2020-02-06T10:00:04Z,RYR98DQ,47.433563,19.258381,0,0,222
-8817,1580983313,2020-02-06T10:01:53Z,RYR98DQ,47.433586,19.258415,0,0,158
-8809,1580983321,2020-02-06T10:02:01Z,RYR98DQ,47.433804,19.258329,0,0,345
-8752,1580983378,2020-02-06T10:02:58Z,RYR98DQ,47.433784,19.258347,0,0,159
-8728,1580983402,2020-02-06T10:03:22Z,RYR98DQ,47.433693,19.258558,0,9,225
-8712,1580983418,2020-02-06T10:03:38Z,RYR98DQ,47.433846,19.25877,0,9,233
-8695,1580983435,2020-02-06T10:03:55Z,RYR98DQ,47.43396,19.258999,0,9,241
-8680,1580983450,2020-02-06T10:04:10Z,RYR98DQ,47.434044,19.259222,0,9,247
-8666,1580983464,2020-02-06T10:04:24Z,RYR98DQ,47.434101,19.259428,0,9,247
-8652,1580983478,2020-02-06T10:04:38Z,RYR98DQ,47.434158,19.259634,0,9,236
-8629,1580983501,2020-02-06T10:05:01Z,RYR98DQ,47.434261,19.25984,0,2,219
-8502,1580983628,2020-02-06T10:07:08Z,RYR98DQ,47.434147,19.259617,0,16,236
-8496,1580983634,2020-02-06T10:07:14Z,RYR98DQ,47.43425,19.259291,0,21,300
-8489,1580983641,2020-02-06T10:07:21Z,RYR98DQ,47.434471,19.258909,0,28,312
-8481,1580983649,2020-02-06T10:07:29Z,RYR98DQ,47.434776,19.258364,0,15,303
-8475,1580983655,2020-02-06T10:07:35Z,RYR98DQ,47.435017,19.257763,0,16,303
-8463,1580983667,2020-02-06T10:07:47Z,RYR98DQ,47.43544,19.256836,0,27,284
-8454,1580983676,2020-02-06T10:07:56Z,RYR98DQ,47.435257,19.256321,0,25,227
-8446,1580983684,2020-02-06T10:08:04Z,RYR98DQ,47.434925,19.255892,0,28,222
-8440,1580983690,2020-02-06T10:08:10Z,RYR98DQ,47.434719,19.2556,0,31,225
-8434,1580983696,2020-02-06T10:08:16Z,RYR98DQ,47.434357,19.255108,0,15,222
-8427,1580983703,2020-02-06T10:08:23Z,RYR98DQ,47.43401,19.254639,0,17,225
-8418,1580983712,2020-02-06T10:08:32Z,RYR98DQ,47.433437,19.253874,0,20,225
-8412,1580983718,2020-02-06T10:08:38Z,RYR98DQ,47.432995,19.253258,0,22,225
-8399,1580983731,2020-02-06T10:08:51Z,RYR98DQ,47.431995,19.251926,0,19,222
-8393,1580983737,2020-02-06T10:08:57Z,RYR98DQ,47.431686,19.251514,0,28,222
-8381,1580983749,2020-02-06T10:09:09Z,RYR98DQ,47.431446,19.251198,0,14,222
-8369,1580983761,2020-02-06T10:09:21Z,RYR98DQ,47.431171,19.250862,0,21,222
-8362,1580983768,2020-02-06T10:09:28Z,RYR98DQ,47.430889,19.250477,0,28,222
-8356,1580983774,2020-02-06T10:09:34Z,RYR98DQ,47.430668,19.250158,0,23,225
-8350,1580983780,2020-02-06T10:09:40Z,RYR98DQ,47.430645,19.249931,0,16,270
-8342,1580983788,2020-02-06T10:09:48Z,RYR98DQ,47.430794,19.24972,0,18,312
-8335,1580983795,2020-02-06T10:09:55Z,RYR98DQ,47.430958,19.249454,0,23,312
-8329,1580983801,2020-02-06T10:10:01Z,RYR98DQ,47.431389,19.248768,0,26,312
-8318,1580983812,2020-02-06T10:10:12Z,RYR98DQ,47.433308,19.245687,0,76,312
-8311,1580983819,2020-02-06T10:10:19Z,RYR98DQ,47.435577,19.242004,100,104,311
