counter,time,x,y,w,h
1,22,332,26,13,11
2,22,413,25,15,11
1,22,333,27,13,11
2,22,414,26,15,11
1,22,335,28,13,11
2,22,415,27,15,11
1,22,333,29,13,11
2,22,414,28,15,11
1,22,333,27,13,11
2,22,414,26,15,11
1,22,336,27,13,11
2,22,417,26,15,11
1,22,333,28,13,11
2,22,414,28,15,11
1,22,335,28,13,11
2,22,415,27,15,11
1,23,334,28,13,11
2,23,416,27,15,11
1,23,333,27,13,11
2,23,415,27,15,11
1,23,335,28,13,11
2,23,416,27,15,11
1,23,336,29,13,11
2,23,418,28,15,11
1,23,336,29,13,11
2,23,417,29,15,11
1,23,337,28,13,11
2,23,418,28,15,11
1,23,335,28,13,11
2,23,417,28,15,11
1,23,336,29,13,11
2,23,417,28,15,11
1,23,336,30,13,11
2,23,418,29,15,11
1,23,336,31,13,11
2,23,417,29,15,11
1,24,337,30,13,11
2,24,419,28,15,11
1,24,337,29,13,11
2,24,419,27,15,11
1,24,336,29,13,11
2,24,418,28,15,11
1,24,335,30,13,11
2,24,417,29,15,11
1,24,338,30,13,11
2,24,421,29,15,11
1,24,341,29,13,11
2,24,422,28,15,11
1,24,338,30,13,11
2,24,422,29,15,11
1,24,335,30,13,11
2,24,421,28,15,11
1,24,334,30,13,11
2,24,421,28,15,11
1,24,335,31,13,11
2,24,421,29,15,11
1,25,338,29,13,11
2,25,423,26,15,11
1,25,339,32,13,11
2,25,424,28,15,11
1,25,337,33,13,11
2,25,421,30,15,11
1,25,339,33,13,11
2,25,421,29,15,11
1,25,339,31,13,11
2,25,421,28,15,11
1,25,339,33,13,11
2,25,421,30,15,11
1,25,339,35,13,11
2,25,422,32,15,11
1,25,339,33,13,11
2,25,421,30,15,11
1,25,340,34,13,11
2,25,423,30,15,11
1,25,342,34,13,11
2,25,425,31,15,11
1,26,340,35,13,11
2,26,423,32,15,11
1,26,341,34,13,11
2,26,423,32,15,11
1,26,342,34,13,11
2,26,424,31,15,11
1,26,341,34,13,11
2,26,424,30,15,11
1,26,341,34,13,11
2,26,423,31,15,11
1,26,342,35,13,11
2,26,424,32,15,11
1,26,342,37,13,11
2,26,425,33,15,11
1,26,341,35,13,11
2,26,423,32,15,11
1,26,340,35,13,11
2,26,424,31,15,11
1,26,342,37,13,11
2,26,425,33,15,11
1,27,342,38,13,11
2,27,426,33,15,11
1,27,343,37,13,11
2,27,426,32,15,11
1,27,343,38,13,11
2,27,426,33,15,11
1,27,341,39,13,11
2,27,425,35,15,11
1,27,342,37,13,11
2,27,426,33,15,11
1,27,344,38,13,11
2,27,427,33,15,11
1,27,344,39,13,11
2,27,428,34,15,11
1,27,344,37,13,11
2,27,428,32,15,11
1,27,343,38,13,11
2,27,426,34,15,11
1,27,342,40,13,11
2,27,425,34,15,11
1,28,344,39,13,11
2,28,428,32,15,11
1,28,343,38,13,11
2,28,427,32,15,11
1,28,341,39,13,11
2,28,428,32,15,11
1,28,341,39,13,11
2,28,428,33,15,11
1,28,341,41,13,11
2,28,429,34,15,11
1,28,342,39,13,11
2,28,430,33,15,11
1,28,342,36,13,11
2,28,430,30,15,11
1,28,341,37,13,11
2,28,429,30,15,11
1,28,342,38,13,11
2,28,427,33,15,11
1,28,344,39,13,11
2,28,429,34,15,11
1,29,343,38,13,11
2,29,427,33,15,11
1,29,342,37,13,11
2,29,427,33,15,11
1,29,342,38,13,11
2,29,427,34,15,11
1,29,343,39,13,11
2,29,427,35,15,11
1,29,344,39,13,11
2,29,428,36,15,11
1,29,344,37,13,11
2,29,429,34,15,11
1,29,344,39,13,11
2,29,429,37,15,11
1,29,344,40,13,11
2,29,429,39,15,11
1,30,345,39,13,11
2,30,430,38,15,11
1,30,345,39,13,11
2,30,430,38,15,11
1,30,347,41,13,11
2,30,431,40,15,11
1,30,346,40,13,11
2,30,431,39,15,11
1,30,344,41,13,11
2,30,430,41,15,11
1,30,345,43,13,11
2,30,430,43,15,11
1,30,347,40,13,11
2,30,431,40,15,11
1,30,346,38,13,11
2,30,432,39,15,11
1,30,346,44,13,11
2,30,431,44,15,11
1,30,345,43,13,11
2,30,431,43,15,11
1,30,346,39,13,11
2,30,432,40,15,11
1,31,345,39,13,11
2,31,431,39,15,11
1,31,347,41,13,11
2,31,432,42,15,11
1,31,347,42,13,11
2,31,433,43,15,11
1,31,345,41,13,11
2,31,430,42,15,11
1,31,347,42,13,11
2,31,432,43,15,11
1,31,346,42,13,11
2,31,431,42,15,11
1,31,346,43,13,11
2,31,430,44,15,11
1,31,348,42,13,11
2,31,433,42,15,11
1,31,348,44,13,11
2,31,433,44,15,11
1,32,344,45,13,11
2,32,434,44,15,11
1,32,346,41,13,11
2,32,436,41,15,11
1,32,345,44,13,11
2,32,435,43,15,11
1,32,344,46,13,11
2,32,434,45,15,11
1,32,345,44,13,11
2,32,435,43,15,11
1,32,345,44,13,11
2,32,435,44,15,11
1,32,345,47,13,11
2,32,432,46,15,11
1,32,347,44,13,11
2,32,434,44,15,11
1,32,348,46,13,11
2,32,435,45,15,11
1,32,345,47,13,11
2,32,432,45,15,11
1,32,348,46,13,11
2,32,434,44,15,11
1,33,349,47,13,11
2,33,434,45,15,11
1,33,348,49,13,11
2,33,433,48,15,11
1,33,347,47,13,11
2,33,434,46,15,11
1,33,348,46,13,11
2,33,434,45,15,11
1,33,347,49,13,11
2,33,434,48,15,11
1,33,350,48,13,11
2,33,436,48,15,11
1,33,349,50,13,11
2,33,435,49,15,11
1,33,347,51,13,11
2,33,433,49,15,11
1,33,348,49,13,11
2,33,434,47,15,11
1,33,348,50,13,11
2,33,435,49,15,11
1,34,348,50,13,11
2,34,435,48,15,11
1,34,349,50,13,11
2,34,436,49,15,11
1,34,348,52,13,11
2,34,434,50,15,11
1,34,346,49,13,11
2,34,433,48,15,11
1,34,349,50,13,11
2,34,437,49,15,11
1,34,349,51,13,11
2,34,437,51,15,11
1,34,349,51,13,11
2,34,436,51,15,11
1,34,348,52,13,11
2,34,435,52,15,11
1,34,348,52,13,11
2,34,436,52,15,11
1,35,349,51,13,11
2,35,437,51,15,11
1,35,350,52,13,11
2,35,437,52,15,11
1,35,346,52,13,11
2,35,435,52,15,11
1,35,347,51,13,11
2,35,435,51,15,11
1,35,349,52,13,11
2,35,437,52,15,11
1,35,350,52,13,11
2,35,438,52,15,11
1,35,348,50,13,11
2,35,439,50,15,11
1,35,347,51,13,11
2,35,439,51,15,11
1,35,349,54,13,11
2,35,442,54,15,11
1,35,348,53,13,11
2,35,439,53,15,11
1,36,350,53,13,11
2,36,441,53,15,11
1,36,348,55,13,11
2,36,440,55,15,11
1,36,350,55,13,11
2,36,438,55,15,11
1,36,350,54,13,11
2,36,438,55,15,11
1,36,351,55,13,11
2,36,440,56,15,11
1,36,352,56,13,11
2,36,439,57,15,11
1,36,350,54,13,11
2,36,437,55,15,11
1,36,350,57,13,11
2,36,437,58,15,11
1,36,352,57,13,11
2,36,439,58,15,11
1,36,353,57,13,11
2,36,440,57,15,11
1,36,350,57,13,11
2,36,438,58,15,11
1,37,352,58,13,11
2,37,440,58,15,11
1,37,352,59,13,11
2,37,440,60,15,11
1,37,351,56,13,11
2,37,440,57,15,11
1,37,351,57,13,11
2,37,439,58,15,11
1,37,352,60,13,11
2,37,441,60,15,11
1,37,350,57,13,11
2,37,440,58,15,11
1,37,350,56,13,11
2,37,439,56,15,11
1,37,353,58,13,11
2,37,440,58,15,11
1,37,353,59,13,11
2,37,442,59,15,11
1,38,351,59,13,11
2,38,441,58,15,11
1,38,352,58,13,11
2,38,441,57,15,11
1,38,352,60,13,11
2,38,440,60,15,11
