x,y,w,h
626,397,10,9
625,396,10,9
627,396,10,9
628,395,10,9
631,395,10,9
632,395,10,9
634,395,10,9
636,394,10,9
638,394,10,9
640,394,10,9
643,395,10,9
644,394,10,9
645,393,10,9
649,393,10,9
650,394,10,9
652,394,10,9
655,393,10,9
656,394,10,9
653,393,10,9
655,394,10,9
652,395,10,9
656,395,10,9
663,391,10,9
667,391,10,9
671,391,10,9
675,391,10,9
676,391,10,9
679,391,10,9
674,391,10,9
675,390,10,9
678,389,10,9
681,389,10,9
686,388,10,9
692,390,10,9
692,388,10,9
691,389,10,9
692,388,10,9
692,388,10,9
694,387,10,9
694,387,10,9
695,389,10,9
692,388,10,9
696,387,10,9
697,387,10,9
697,388,10,9
697,389,10,9
698,388,10,9
700,387,10,9
701,387,10,9
702,388,10,9
701,389,10,9
704,389,10,9
706,390,10,9
708,391,10,9
709,392,10,9
710,392,10,9
710,392,10,9
711,394,10,9
712,394,10,9
714,395,10,9
715,394,10,9
717,394,10,9
716,396,10,9
720,395,10,9
720,396,10,9
720,397,10,9
722,398,10,9
719,399,10,9
723,399,10,9
727,399,10,9
726,400,10,9
724,402,10,9
726,401,10,9
727,402,10,9
727,403,10,9
724,406,10,9
724,406,10,9
724,408,10,9
725,409,10,9
718,411,10,9
715,412,10,9
718,412,10,9
717,414,10,9
717,412,10,9
716,414,10,9
717,412,10,9
719,413,10,9
718,412,10,9
716,412,10,9
719,414,10,9
721,413,10,9
722,414,10,9
721,412,10,9
724,413,10,9
722,415,10,9
721,414,10,9
722,413,10,9
723,413,10,9
723,413,10,9
723,413,10,9
724,413,10,9
723,413,10,9
724,412,10,9
726,412,10,9
727,412,10,9
728,411,10,9
728,411,10,9
731,411,10,9
730,411,10,9
732,410,10,9
734,410,10,9
732,408,10,9
733,409,10,9
733,407,10,9
732,406,10,9
730,404,10,9
729,402,10,9
726,400,10,9
726,399,10,9
723,398,10,9
721,397,10,9
720,397,10,9
717,397,10,9
715,397,10,9
715,398,10,9
715,398,10,9
713,398,10,9
713,397,10,9
712,396,10,9
711,395,10,9
711,393,10,9
710,393,10,9
710,391,10,9
710,390,10,9
709,389,10,9
710,388,10,9
710,388,10,9
709,387,10,9
708,386,10,9
708,386,10,9
707,385,10,9
707,384,10,9
706,383,10,9
706,382,10,9
705,382,10,9
705,382,10,9
705,382,10,9
705,383,10,9
703,382,10,9
702,383,10,9
713,383,10,9
712,383,10,9
712,383,10,9
711,382,10,9
711,381,10,9
711,380,10,9
712,378,10,9
711,376,10,9
711,377,10,9
713,375,10,9
713,375,10,9
714,375,10,9
715,373,10,9
716,372,10,9
716,372,10,9
716,370,10,9
718,369,10,9
719,368,10,9
719,366,10,9
719,367,10,9
721,366,10,9
722,366,10,9
723,368,10,9
723,367,10,9
724,367,10,9
725,367,10,9
724,367,10,9
723,365,10,9
723,365,10,9
723,365,10,9
722,364,10,9
722,363,10,9
721,363,10,9
719,363,10,9
719,362,10,9
718,362,10,9
719,362,10,9
718,364,10,9
715,364,10,9
717,366,10,9
717,366,10,9
718,367,10,9
716,369,10,9
715,371,10,9
714,371,10,9
715,372,10,9
713,373,10,9
714,373,10,9
711,373,10,9
710,375,10,9
709,374,10,9
709,376,10,9
706,374,10,9
704,376,10,9
703,378,10,9
702,379,10,9
701,383,10,9
698,383,10,9
697,385,10,9
697,386,10,9
697,387,10,9
696,390,10,9
697,392,10,9
693,395,10,9
693,396,10,9
693,398,10,9
689,401,10,9
687,404,10,9
686,404,10,9
685,407,10,9
685,408,10,9
682,410,10,9
681,409,10,9
679,410,10,9
678,410,10,9
679,412,10,9
678,412,10,9
676,412,10,9
676,414,10,9
676,413,10,9
673,413,10,9
674,413,10,9
671,414,10,9
672,413,10,9
672,414,10,9
674,413,10,9
672,413,10,9
674,411,10,9
676,411,10,9
679,412,10,9
679,411,10,9
680,411,10,9
682,412,10,9
683,412,10,9
687,412,10,9
688,411,10,9
691,411,10,9
692,410,10,9
695,408,10,9
697,406,10,9
700,403,10,9
704,399,10,9
708,397,10,9
712,393,10,9
712,389,10,9
714,386,10,9
716,382,10,9
719,377,10,9
722,373,10,9
724,368,10,9
726,365,10,9
730,362,10,9
731,359,10,9
736,360,10,9
739,357,10,9
743,356,10,9
746,355,10,9
748,355,10,9
750,355,10,9
753,354,10,9
753,355,10,9
755,355,10,9
756,354,10,9
757,354,10,9
759,353,10,9
758,353,10,9
761,354,10,9
762,353,10,9
764,354,10,9
765,355,10,9
768,356,10,9
771,356,10,9
775,356,10,9
779,357,10,9
786,358,10,9
787,361,10,9
792,363,10,9
795,366,10,9
801,367,10,9
805,368,10,9
809,370,10,9
815,371,10,9
820,372,10,9
826,374,10,9
831,375,10,9
839,375,10,9
845,375,10,9
851,375,10,9
858,375,10,9
866,375,10,9
872,375,10,9
877,374,10,9
885,374,10,9
890,372,10,9
895,371,10,9
899,369,10,9
903,367,10,9
903,363,10,9
904,361,10,9
906,360,10,9
908,360,10,9
909,358,10,9
911,356,10,9
913,353,10,9
914,351,10,9
919,348,10,9
922,346,10,9
927,344,10,9
930,341,10,9
933,337,10,9
940,330,10,9
