counter,frame,x,y,w,h
1,301,316,8,9,9
2,301,393,11,9,9
1,302,316,7,9,9
2,302,393,10,9,9
1,303,318,7,9,9
2,303,395,10,9,9
1,304,318,8,8,8
2,304,394,11,9,9
1,305,313,6,8,8
2,305,391,10,9,9
1,306,318,6,9,9
2,306,396,11,9,9
1,307,315,8,8,8
2,307,393,12,9,9
1,308,314,7,9,9
2,308,391,12,9,9
1,309,317,8,8,8
2,309,395,12,9,9
1,310,318,6,8,8
2,310,396,10,9,9
1,311,313,5,8,8
2,311,391,9,9,9
1,312,316,2,8,8
2,312,394,6,9,9
1,313,314,4,8,8
2,313,392,8,9,9
1,314,315,5,8,8
2,314,391,9,9,9
1,315,318,3,8,8
2,315,395,7,9,9
1,316,314,3,8,8
2,316,392,8,9,9
1,317,312,2,8,8
2,317,391,7,9,9
1,318,316,3,8,8
2,318,393,7,9,9
1,319,315,4,8,8
2,319,392,8,9,9
1,320,314,4,8,8
2,320,392,8,9,9
1,321,313,5,8,8
2,321,392,9,8,8
1,322,314,4,8,8
2,322,391,7,9,9
1,323,315,4,8,8
2,323,392,8,9,9
1,324,314,6,8,8
2,324,393,10,9,9
1,325,314,7,8,8
2,325,393,11,9,9
1,326,315,5,8,8
2,326,394,9,9,9
1,327,315,3,8,8
2,327,393,7,9,9
1,328,315,6,8,8
2,328,393,9,9,9
1,329,314,5,8,8
2,329,397,8,9,9
1,330,314,5,8,8
2,330,396,9,9,9
1,331,313,5,8,8
2,331,395,9,9,9
1,332,313,3,8,8
2,332,395,5,9,9
1,333,311,5,8,8
2,333,393,7,9,9
1,334,312,4,8,8
2,334,395,7,9,9
1,335,313,3,8,8
2,335,393,6,9,9
1,336,315,4,8,8
2,336,393,8,9,9
1,337,312,4,8,8
2,337,390,7,9,9
1,338,313,4,8,8
2,338,392,7,9,9
1,339,316,5,8,8
2,339,395,7,9,9
1,340,317,6,8,8
2,340,396,9,9,9
1,341,317,7,8,8
2,341,396,10,9,9
1,342,316,7,8,8
2,342,394,10,9,9
1,343,313,6,8,8
2,343,392,10,9,9
1,344,316,5,8,8
2,344,395,9,9,9
1,345,315,6,8,8
2,345,394,10,9,9
1,346,313,7,8,8
2,346,393,10,9,9
1,347,316,6,8,8
2,347,395,9,9,9
1,348,316,9,8,8
2,348,394,11,9,9
1,349,314,6,8,8
2,349,393,9,9,9
1,350,314,7,8,8
2,350,394,9,9,9
1,351,315,7,8,8
2,351,394,11,9,9
1,352,314,8,8,8
2,352,394,11,9,9
1,353,317,9,8,8
2,353,397,11,9,9
1,354,316,7,8,8
2,354,396,10,9,9
1,355,314,5,8,8
2,355,394,9,9,9
1,356,314,6,8,8
2,356,394,9,9,9
1,357,316,7,8,8
2,357,396,10,9,9
1,358,316,9,8,8
2,358,395,12,9,9
1,359,315,7,8,8
2,359,395,11,9,9
1,360,313,6,8,8
2,360,394,9,9,9
1,361,314,7,8,8
2,361,394,10,9,9
1,362,316,5,8,8
2,362,395,8,9,9
1,363,317,6,8,8
2,363,397,9,9,9
1,364,315,8,8,8
2,364,395,11,9,9
1,365,313,7,8,8
2,365,397,10,9,9
1,366,315,5,8,8
2,366,398,8,9,9
1,367,316,8,8,8
2,367,400,11,9,9
1,368,314,6,8,8
2,368,399,10,9,9
1,369,314,6,8,8
2,369,398,10,9,9
1,370,312,7,8,8
2,370,396,11,9,9
1,371,314,7,8,8
2,371,396,11,9,9
1,372,317,5,8,8
2,372,397,9,9,9
1,373,316,4,8,8
2,373,396,8,9,9
1,374,316,8,8,8
2,374,396,10,9,9
1,375,318,8,8,8
2,375,398,11,9,9
1,376,317,8,8,8
2,376,397,11,9,9
1,377,318,8,8,8
2,377,398,12,9,9
1,378,317,8,8,8
2,378,398,12,9,9
1,379,316,9,8,8
2,379,396,13,9,9
1,380,316,8,8,8
2,380,397,12,9,9
1,381,318,9,8,8
2,381,398,13,9,9
1,382,318,11,8,8
2,382,399,14,9,9
1,383,319,13,8,8
2,383,400,16,9,9
1,384,319,14,8,8
2,384,400,17,9,9
1,385,319,11,8,8
2,385,400,15,9,9
1,386,320,13,8,8
2,386,402,17,9,9
1,387,320,13,8,8
2,387,401,16,9,9
1,388,318,13,8,8
2,388,399,16,9,9
1,389,319,11,8,8
2,389,399,15,9,9
1,390,319,12,8,8
2,390,400,17,9,9
1,391,317,11,8,8
2,391,398,15,9,9
1,392,319,10,8,8
2,392,400,14,9,9
1,393,319,11,8,8
2,393,400,15,9,9
1,394,318,14,8,8
2,394,399,18,9,9
1,395,319,13,8,8
2,395,400,16,9,9
1,396,320,12,8,8
2,396,402,16,9,9
1,397,319,14,8,8
2,397,401,17,9,9
1,398,319,13,8,8
2,398,401,17,9,9
1,399,320,13,8,8
2,399,401,17,9,9
1,400,317,12,8,8
2,400,399,17,9,9
1,401,317,9,8,8
2,401,403,13,9,9
1,402,319,9,8,8
2,402,405,14,9,9
1,403,317,14,8,8
2,403,403,19,9,9
1,404,316,9,8,8
2,404,402,13,9,9
1,405,316,9,8,8
2,405,403,12,9,9
1,406,319,15,8,8
2,406,405,19,9,9
1,407,323,14,8,8
2,407,405,19,9,9
1,408,320,11,8,8
2,408,404,15,9,9
1,409,318,14,8,8
2,409,401,17,9,9
1,410,320,15,8,8
2,410,402,18,9,9
1,411,320,9,8,8
2,411,402,12,9,9
1,412,321,12,8,8
2,412,402,16,9,9
1,413,323,15,8,8
2,413,405,19,9,9
1,414,321,12,8,8
2,414,403,15,9,9
1,415,319,12,8,8
2,415,402,16,9,9
1,416,321,16,8,8
2,416,404,19,9,9
1,417,323,13,8,8
2,417,406,17,9,9
1,418,322,12,8,8
2,418,404,15,9,9
1,419,322,14,8,8
2,419,405,18,9,9
1,420,323,15,8,8
2,420,405,18,9,9
1,421,323,13,8,8
2,421,405,17,9,9
1,422,324,13,8,8
2,422,407,17,9,9
1,423,324,16,8,8
2,423,407,20,9,9
1,424,323,17,8,8
2,424,405,21,9,9
1,425,323,14,8,8
2,425,406,18,9,9
1,426,325,14,8,8
2,426,407,18,9,9
1,427,323,16,8,8
2,427,406,21,9,9
1,428,323,16,8,8
2,428,407,20,9,9
1,429,324,14,8,8
2,429,408,17,9,9
1,430,322,16,8,8
2,430,406,20,9,9
1,431,324,16,8,8
2,431,408,20,9,9
1,432,324,14,8,8
2,432,408,17,9,9
1,433,323,14,8,8
2,433,407,18,9,9
1,434,325,16,8,8
2,434,408,20,9,9
1,435,326,17,8,8
2,435,409,21,9,9
1,436,325,17,8,8
2,436,408,21,9,9
1,437,325,17,8,8
2,437,411,20,9,9
1,438,325,16,8,8
2,438,411,20,9,9
1,439,323,16,8,8
2,439,411,20,9,9
1,440,325,15,8,8
2,440,412,20,9,9
1,441,325,16,8,8
2,441,411,21,9,9
1,442,323,16,8,8
2,442,409,21,9,9
1,443,326,15,8,8
2,443,410,20,9,9
1,444,327,15,8,8
2,444,411,19,9,9
1,445,326,17,8,8
2,445,410,22,9,9
1,446,326,19,8,8
2,446,410,23,9,9
1,447,326,18,8,8
2,447,410,21,9,9
1,448,328,16,8,8
2,448,412,20,9,9
1,449,328,19,8,8
2,449,412,23,9,9
1,450,326,20,8,8
