counter,frame,x,y,w,h
1,357,314,7,10,9
2,357,393,10,11,10
1,358,314,8,10,9
2,358,393,13,11,10
1,359,313,7,10,9
2,359,392,11,11,10
1,360,313,5,10,9
2,360,392,9,11,10
1,361,312,6,10,9
2,361,392,11,11,10
1,362,313,4,10,9
2,362,392,9,11,10
1,363,316,5,10,9
2,363,394,10,11,10
1,364,314,7,10,9
2,364,392,11,11,10
1,365,311,7,9,8
2,365,395,11,11,10
1,366,312,5,9,8
2,366,396,9,11,10
1,367,314,7,9,8
2,367,398,12,11,10
1,368,313,5,9,8
2,368,397,10,11,10
1,369,312,5,9,8
2,369,396,10,11,10
1,370,310,6,9,8
2,370,394,11,11,10
1,371,312,6,9,8
2,371,393,12,11,10
1,372,315,4,9,8
2,372,394,9,11,10
1,373,315,4,9,8
2,373,393,9,11,10
1,374,314,7,9,8
2,374,394,11,11,10
1,375,316,8,9,8
2,375,396,12,11,10
1,376,315,7,9,8
2,376,395,12,11,10
1,377,316,7,9,8
2,377,397,12,11,10
1,378,316,8,9,8
2,378,397,13,11,10
1,379,315,10,9,8
2,379,394,14,11,10
1,380,315,8,9,8
2,380,395,12,11,10
1,381,317,8,9,8
2,381,397,12,11,10
1,382,317,10,9,8
2,382,397,15,11,10
1,383,318,13,9,8
2,383,398,17,11,10
1,384,319,13,9,8
2,384,397,18,11,10
1,385,316,10,9,8
2,385,397,15,11,10
1,386,320,13,9,8
2,386,399,18,11,10
1,387,318,13,9,8
2,387,399,17,11,10
1,388,317,13,9,8
2,388,397,17,11,10
1,389,316,11,9,8
2,389,397,16,11,10
1,390,318,13,9,8
2,390,399,17,11,10
1,391,315,11,9,8
2,391,396,16,11,10
1,392,317,10,9,8
2,392,398,14,11,10
1,393,317,10,9,8
2,393,398,16,11,10
1,394,316,13,9,8
2,394,397,18,11,10
1,395,318,13,9,8
2,395,398,17,11,10
1,396,319,12,9,8
2,396,400,16,11,10
1,397,318,13,9,8
2,397,399,18,11,10
1,398,317,13,9,8
2,398,399,18,11,10
1,399,318,12,9,8
2,399,398,18,11,10
1,400,316,12,9,8
2,400,397,17,11,10
1,401,317,8,9,8
2,401,401,13,11,10
1,402,318,10,9,8
2,402,402,14,11,10
1,403,316,14,9,8
2,403,401,19,11,10
1,404,314,8,9,8
2,404,399,14,11,10
1,405,315,8,9,8
2,405,400,14,11,10
1,406,317,14,9,8
2,406,402,19,11,10
1,407,321,14,9,8
2,407,402,19,11,10
1,408,319,11,9,8
2,408,401,16,11,10
1,409,318,13,9,8
2,409,399,18,11,10
1,410,318,14,9,8
2,410,400,19,11,10
1,411,318,8,9,8
2,411,400,13,11,10
1,412,320,12,9,8
2,412,400,16,11,10
1,413,321,15,9,8
2,413,403,20,11,10
1,414,320,11,9,8
2,414,402,16,11,10
1,415,318,11,9,8
2,415,400,16,11,10
1,416,320,15,9,8
2,416,403,20,11,10
1,417,322,13,9,8
2,417,404,18,11,10
1,418,320,10,9,8
2,418,402,16,11,10
1,419,320,14,9,8
2,419,402,18,11,10
1,420,321,15,9,8
2,420,403,20,11,10
1,421,321,13,9,8
2,421,403,17,11,10
1,422,322,14,9,8
2,422,405,18,11,10
1,423,322,16,9,8
2,423,405,20,11,10
1,424,321,17,9,8
2,424,404,22,11,10
1,425,321,14,9,8
2,425,404,18,11,10
1,426,323,14,9,8
2,426,406,18,11,10
1,427,322,16,9,8
2,427,404,21,11,10
1,428,322,15,9,8
2,428,405,20,11,10
1,429,323,13,9,8
2,429,406,17,11,10
1,430,321,15,9,8
2,430,404,20,11,10
1,431,322,16,9,8
2,431,406,20,11,10
1,432,323,14,9,8
2,432,405,19,11,10
1,433,321,14,9,8
2,433,404,18,11,10
1,434,323,16,9,8
2,434,406,20,11,10
1,435,324,16,9,8
2,435,407,21,11,10
1,436,323,16,9,8
2,436,406,21,11,10
1,437,323,15,9,8
2,437,409,21,11,10
1,438,323,15,9,8
2,438,410,21,11,10
1,439,322,16,9,8
2,439,410,21,11,10
1,440,324,15,9,8
2,440,410,21,11,10
1,441,323,16,9,8
2,441,409,21,11,10
1,442,321,16,9,8
2,442,408,22,11,10
