Adjusted Timestamp,Timestamp,UTC,Callsign,Latitude,Longitude,Altitude,Speed,Direction
-7971,1580984442,2020-02-06T10:20:42Z,EJU36PM,45.507122,12.340459,0,0,242
-7918,1580984495,2020-02-06T10:21:35Z,EJU36PM,45.507362,12.340661,0,9,216
-7897,1580984516,2020-02-06T10:21:56Z,EJU36PM,45.507545,12.340899,0,10,182
-7872,1580984541,2020-02-06T10:22:21Z,EJU36PM,45.507782,12.340929,0,2,112
-7665,1580984748,2020-02-06T10:25:48Z,EJU36PM,45.507664,12.341297,0,17,115
-7653,1580984760,2020-02-06T10:26:00Z,EJU36PM,45.507442,12.341718,0,19,129
-7643,1580984770,2020-02-06T10:26:10Z,EJU36PM,45.507214,12.342093,0,20,132
-7637,1580984776,2020-02-06T10:26:16Z,EJU36PM,45.507053,12.342339,0,23,132
-7543,1580984870,2020-02-06T10:27:50Z,EJU36PM,45.50259,12.343575,0,15,177
-7535,1580984878,2020-02-06T10:27:58Z,EJU36PM,45.501926,12.343614,0,15,177
-7529,1580984884,2020-02-06T10:28:04Z,EJU36PM,45.501518,12.343575,0,15,191
-7513,1580984900,2020-02-06T10:28:20Z,EJU36PM,45.500633,12.342587,0,15,222
-7501,1580984912,2020-02-06T10:28:32Z,EJU36PM,45.499821,12.341532,0,23,222
-7494,1580984919,2020-02-06T10:28:39Z,EJU36PM,45.499367,12.340962,0,25,222
-7481,1580984932,2020-02-06T10:28:52Z,EJU36PM,45.498081,12.339297,0,26,222
-7471,1580984942,2020-02-06T10:29:02Z,EJU36PM,45.497177,12.338132,0,27,222
-7459,1580984954,2020-02-06T10:29:14Z,EJU36PM,45.496189,12.33686,0,21,222
-7449,1580984964,2020-02-06T10:29:24Z,EJU36PM,45.495598,12.33611,0,26,219
-7442,1580984971,2020-02-06T10:29:31Z,EJU36PM,45.495335,12.335864,0,19,208
-7432,1580984981,2020-02-06T10:29:41Z,EJU36PM,45.495129,12.335979,0,12,151
-7250,1580985163,2020-02-06T10:32:43Z,EJU36PM,45.494953,12.336273,0,17,135
-7241,1580985172,2020-02-06T10:32:52Z,EJU36PM,45.494728,12.336633,0,21,132
-7225,1580985188,2020-02-06T10:33:08Z,EJU36PM,45.494282,12.337412,0,24,126
-7215,1580985198,2020-02-06T10:33:18Z,EJU36PM,45.494152,12.337814,0,14,101
-7189,1580985224,2020-02-06T10:33:44Z,EJU36PM,45.494419,12.338088,0,20,42
-7173,1580985240,2020-02-06T10:34:00Z,EJU36PM,45.496944,12.341331,0,80,42
-7144,1580985269,2020-02-06T10:34:29Z,EJU36PM,45.50919,12.357274,0,154,42
-7135,1580985278,2020-02-06T10:34:38Z,EJU36PM,45.513985,12.364175,200,154,44
-7125,1580985288,2020-02-06T10:34:48Z,EJU36PM,45.519104,12.371543,750,149,44
-7119,1580985294,2020-02-06T10:34:54Z,EJU36PM,45.522083,12.375697,1000,150,44
-7112,1580985301,2020-02-06T10:35:01Z,EJU36PM,45.525513,12.380546,1200,156,44
-7106,1580985307,2020-02-06T10:35:07Z,EJU36PM,45.528763,12.385057,1350,164,44
-7100,1580985313,2020-02-06T10:35:13Z,EJU36PM,45.531906,12.389765,1500,170,48
-7092,1580985321,2020-02-06T10:35:21Z,EJU36PM,45.535492,12.398202,1725,182,65
-7086,1580985327,2020-02-06T10:35:27Z,EJU36PM,45.536839,12.406311,1875,189,80
-7064,1580985349,2020-02-06T10:35:49Z,EJU36PM,45.534897,12.432338,2625,202,99
-7058,1580985355,2020-02-06T10:35:55Z,EJU36PM,45.533768,12.442285,3075,202,99
-7048,1580985365,2020-02-06T10:36:05Z,EJU36PM,45.532372,12.454343,3650,200,99
-7037,1580985376,2020-02-06T10:36:16Z,EJU36PM,45.530548,12.469744,4375,199,99
-7031,1580985382,2020-02-06T10:36:22Z,EJU36PM,45.529587,12.477656,4725,199,99
-7024,1580985389,2020-02-06T10:36:29Z,EJU36PM,45.528694,12.48556,5050,202,99
-7013,1580985400,2020-02-06T10:36:40Z,EJU36PM,45.527023,12.500414,5525,211,100
-7006,1580985407,2020-02-06T10:36:47Z,EJU36PM,45.524597,12.510882,5875,217,113
-6998,1580985415,2020-02-06T10:36:55Z,EJU36PM,45.519802,12.520194,6350,222,135
-6992,1580985421,2020-02-06T10:37:01Z,EJU36PM,45.514801,12.52546,6725,224,144
-6986,1580985427,2020-02-06T10:37:07Z,EJU36PM,45.508942,12.529058,7100,227,160
-6980,1580985433,2020-02-06T10:37:13Z,EJU36PM,45.503044,12.530711,7400,229,172
-6957,1580985456,2020-02-06T10:37:36Z,EJU36PM,45.478867,12.521079,8675,237,207
-6951,1580985462,2020-02-06T10:37:42Z,EJU36PM,45.473389,12.515572,9025,240,220
-6944,1580985469,2020-02-06T10:37:49Z,EJU36PM,45.468315,12.507332,9375,241,232
-6938,1580985475,2020-02-06T10:37:55Z,EJU36PM,45.465179,12.498713,9675,241,245
-6931,1580985482,2020-02-06T10:38:02Z,EJU36PM,45.463531,12.48982,9950,242,255
-6925,1580985488,2020-02-06T10:38:08Z,EJU36PM,45.463257,12.478899,10225,245,272
-6919,1580985494,2020-02-06T10:38:14Z,EJU36PM,45.464172,12.470756,10400,248,281
-6913,1580985500,2020-02-06T10:38:20Z,EJU36PM,45.466141,12.461504,10600,254,287
-6907,1580985506,2020-02-06T10:38:26Z,EJU36PM,45.468613,12.45078,10800,264,288
-6901,1580985512,2020-02-06T10:38:32Z,EJU36PM,45.470829,12.441615,10975,272,288
-6895,1580985518,2020-02-06T10:38:38Z,EJU36PM,45.473297,12.43103,11150,281,288
-6883,1580985530,2020-02-06T10:38:50Z,EJU36PM,45.478546,12.408666,11500,300,288
-6871,1580985542,2020-02-06T10:39:02Z,EJU36PM,45.483864,12.38541,11850,317,287
-6859,1580985554,2020-02-06T10:39:14Z,EJU36PM,45.489212,12.361384,12375,326,287
-6829,1580985584,2020-02-06T10:39:44Z,EJU36PM,45.503044,12.297318,14350,327,287
-6797,1580985616,2020-02-06T10:40:16Z,EJU36PM,45.517521,12.230663,16275,331,287
-6765,1580985648,2020-02-06T10:40:48Z,EJU36PM,45.531998,12.164947,17750,343,287
-6733,1580985680,2020-02-06T10:41:20Z,EJU36PM,45.547642,12.093956,19275,353,287
-6703,1580985710,2020-02-06T10:41:50Z,EJU36PM,45.564259,12.028931,20275,364,298
-6697,1580985716,2020-02-06T10:41:56Z,EJU36PM,45.570313,12.015404,20525,363,304
-6691,1580985722,2020-02-06T10:42:02Z,EJU36PM,45.575806,12.004143,20750,364,304
-6685,1580985728,2020-02-06T10:42:08Z,EJU36PM,45.58181,11.991989,21050,365,305
-6621,1580985792,2020-02-06T10:43:12Z,EJU36PM,45.644703,11.862076,23700,382,303
-6560,1580985853,2020-02-06T10:44:13Z,EJU36PM,45.705547,11.732368,26325,387,303
-6497,1580985916,2020-02-06T10:45:16Z,EJU36PM,45.769318,11.596605,28675,395,303
-6437,1580985976,2020-02-06T10:46:16Z,EJU36PM,45.831375,11.464371,30400,409,303
-6375,1580986038,2020-02-06T10:47:18Z,EJU36PM,45.896458,11.324638,32125,418,303
-6313,1580986100,2020-02-06T10:48:20Z,EJU36PM,45.963261,11.18058,33850,422,303
-6252,1580986161,2020-02-06T10:49:21Z,EJU36PM,46.028805,11.03817,35325,408,303
-6190,1580986223,2020-02-06T10:50:23Z,EJU36PM,46.093643,10.897098,36000,416,303
-6129,1580986284,2020-02-06T10:51:24Z,EJU36PM,46.158188,10.755079,36000,416,303
-6067,1580986346,2020-02-06T10:52:26Z,EJU36PM,46.221588,10.616142,36000,405,303
-6007,1580986406,2020-02-06T10:53:26Z,EJU36PM,46.283585,10.478966,36000,409,303
-5945,1580986468,2020-02-06T10:54:28Z,EJU36PM,46.348431,10.334084,36000,413,302
-5883,1580986530,2020-02-06T10:55:30Z,EJU36PM,46.41188,10.192767,36300,412,302
-5823,1580986590,2020-02-06T10:56:30Z,EJU36PM,46.473007,10.05201,37475,416,302
-5761,1580986652,2020-02-06T10:57:32Z,EJU36PM,46.536255,9.906184,38000,420,302
-5701,1580986712,2020-02-06T10:58:32Z,EJU36PM,46.598923,9.76075,38000,419,301
