counter,frame,x,y,w,h
1,292,317,4,12,10
2,292,394,7,12,10
1,293,311,6,12,10
2,293,392,11,12,10
1,294,310,5,12,10
2,294,391,9,12,10
1,295,313,2,12,10
2,295,395,6,12,10
1,296,311,6,12,10
2,296,391,10,12,10
1,297,312,3,12,10
2,297,393,8,12,10
1,298,313,5,12,10
2,298,395,8,12,10
1,299,312,6,12,10
2,299,393,10,12,10
1,300,315,6,12,10
2,300,392,11,12,10
1,301,313,7,12,10
2,301,392,12,12,10
1,302,314,6,12,10
2,302,391,10,12,10
1,303,315,5,12,10
2,303,393,10,12,10
1,304,313,6,12,10
2,304,392,11,12,10
1,305,311,6,12,10
2,305,389,10,12,10
1,306,316,6,12,10
2,306,394,11,12,10
1,307,313,7,12,10
2,307,391,12,12,10
1,308,311,7,12,10
2,308,389,12,12,10
1,309,315,6,12,10
2,309,393,11,12,10
1,310,315,5,12,10
2,310,394,10,12,10
1,311,310,5,12,10
2,311,388,10,12,10
1,312,313,2,12,10
2,312,392,6,12,10
1,313,312,4,12,10
2,313,389,9,12,10
1,314,312,5,12,10
2,314,390,10,12,10
1,315,315,2,12,10
2,315,394,7,12,10
1,316,312,3,12,10
2,316,390,7,12,10
1,317,310,2,12,10
2,317,388,8,12,10
1,318,313,3,12,10
2,318,392,7,12,10
1,319,312,2,12,10
2,319,391,7,12,10
1,320,311,4,12,10
2,320,389,8,12,10
1,321,311,4,12,10
2,321,390,9,12,10
1,322,311,4,12,10
2,322,391,9,12,10
1,323,313,4,12,10
2,323,390,8,12,10
1,324,312,6,12,10
2,324,391,10,12,10
1,325,312,6,12,10
2,325,391,11,12,10
1,326,313,5,12,10
2,326,392,9,12,10
1,327,313,3,12,10
2,327,391,7,12,10
1,328,313,5,12,10
2,328,392,10,12,10
1,329,312,5,12,10
2,329,394,8,12,10
1,330,311,4,12,10
2,330,395,9,12,10
1,331,311,5,12,10
2,331,393,9,12,10
1,332,310,3,12,10
2,332,393,6,12,10
1,333,308,3,12,10
2,333,392,8,12,10
1,334,310,4,12,10
2,334,393,7,12,10
1,335,311,2,12,10
2,335,392,6,12,10
1,336,313,4,12,10
2,336,392,8,12,10
1,337,310,3,12,10
2,337,389,7,12,10
1,338,311,3,12,10
2,338,390,7,12,10
1,339,313,4,12,10
2,339,393,7,12,10
1,340,314,5,12,10
2,340,393,9,12,10
1,341,315,7,12,10
2,341,394,10,12,10
1,342,313,6,12,10
2,342,392,10,12,10
1,343,311,6,12,10
2,343,390,10,12,10
1,344,313,5,12,10
2,344,393,8,12,10
1,345,312,6,12,10
2,345,392,10,12,10
1,346,312,6,12,10
2,346,392,10,12,10
1,347,313,5,12,10
2,347,393,9,12,10
1,348,314,8,12,10
2,348,393,11,12,10
1,349,311,5,12,10
2,349,391,9,12,10
1,350,312,6,12,10
2,350,392,10,12,10
1,351,313,7,12,10
2,351,392,10,12,10
1,352,312,8,12,10
2,352,392,11,12,10
1,353,315,8,12,10
2,353,395,12,12,10
1,354,314,6,12,10
2,354,394,10,12,10
1,355,313,6,12,10
2,355,392,9,12,10
1,356,312,6,12,10
2,356,392,9,12,10
1,357,315,7,12,10
2,357,393,11,12,10
1,358,314,8,12,10
2,358,394,12,12,10
1,359,313,7,12,10
2,359,392,11,12,10
1,360,311,5,12,10
2,360,392,9,12,10
1,361,312,6,12,10
2,361,392,10,12,10
1,362,313,4,12,10
2,362,393,8,12,10
1,363,315,5,12,10
2,363,396,9,12,10
1,364,313,7,12,10
2,364,393,11,12,10
1,365,311,7,12,10
2,365,395,11,12,10
1,366,312,5,12,10
2,366,397,9,12,10
1,367,314,7,12,10
2,367,399,11,12,10
1,368,312,6,12,10
2,368,397,10,12,10
1,369,312,5,12,10
2,369,396,9,12,10
1,370,310,6,12,10
2,370,394,11,12,10
1,371,312,7,12,10
2,371,394,11,12,10
1,372,315,5,12,10
2,372,396,9,12,10
1,373,313,4,12,10
2,373,394,9,12,10
1,374,313,6,12,10
2,374,394,10,12,10
1,375,315,7,12,10
2,375,396,12,12,10
1,376,314,7,12,10
2,376,395,11,12,10
1,377,316,8,12,10
2,377,397,12,12,10
1,378,316,8,12,10
2,378,397,12,12,10
1,379,314,9,12,10
2,379,395,13,12,10
1,380,314,8,12,10
2,380,395,12,12,10
1,381,317,8,12,10
2,381,398,12,12,10
1,382,317,10,12,10
2,382,397,15,12,10
1,383,317,12,12,10
2,383,399,16,12,10
1,384,317,13,12,10
2,384,398,17,12,10
1,385,317,11,12,10
2,385,398,15,12,10
1,386,319,13,12,10
2,386,400,17,12,10
1,387,317,13,12,10
2,387,399,17,12,10
1,388,316,12,12,10
2,388,397,16,12,10
1,389,316,11,12,10
2,389,398,15,12,10
1,390,317,12,12,10
2,390,399,17,12,10
1,391,315,11,12,10
2,391,397,15,12,10
1,392,317,10,12,10
2,392,398,14,12,10
1,393,317,11,12,10
2,393,398,16,12,10
1,394,315,13,12,10
2,394,398,17,12,10
1,395,317,12,12,10
2,395,399,16,12,10
1,396,318,11,12,10
2,396,400,16,12,10
1,397,318,13,12,10
2,397,399,18,12,10
1,398,317,13,12,10
2,398,400,17,12,10
1,399,318,13,12,10
2,399,399,17,12,10
1,400,315,12,12,10
2,400,397,17,12,10
1,401,316,8,12,10
2,401,401,12,12,10
1,402,317,9,12,10
2,402,403,14,12,10
1,403,315,14,12,10
2,403,402,19,12,10
1,404,314,8,12,10
2,404,400,13,12,10
1,405,315,9,12,10
2,405,402,13,12,10
1,406,317,14,12,10
2,406,403,19,12,10
1,407,320,14,12,10
2,407,403,18,12,10
1,408,319,11,12,10
2,408,401,16,12,10
1,409,316,13,12,10
2,409,399,17,12,10
1,410,318,14,12,10
2,410,400,18,12,10
1,411,318,9,12,10
2,411,401,13,12,10
1,412,319,11,12,10
2,412,401,16,12,10
1,413,320,15,12,10
2,413,403,20,12,10
1,414,320,12,12,10
2,414,402,15,12,10
1,415,317,11,12,10
2,415,401,16,12,10
1,416,319,15,12,10
2,416,402,20,12,10
1,417,321,13,12,10
2,417,404,17,12,10
1,418,320,11,12,10
2,418,403,15,12,10
1,419,320,14,12,10
2,419,403,18,12,10
1,420,321,14,12,10
2,420,404,19,12,10
1,421,321,13,12,10
2,421,403,17,12,10
1,422,321,14,12,10
2,422,405,17,12,10
1,423,322,15,12,10
2,423,406,20,12,10
1,424,321,17,12,10
2,424,403,21,12,10
1,425,321,14,12,10
2,425,405,18,12,10
1,426,323,14,12,10
2,426,406,18,12,10
1,427,321,17,12,10
2,427,404,20,12,10
1,428,321,15,12,10
2,428,405,19,12,10
1,429,323,13,12,10
2,429,406,17,12,10
1,430,320,16,12,10
2,430,404,20,12,10
1,431,323,16,12,10
2,431,406,20,12,10
1,432,323,14,12,10
2,432,406,18,12,10
1,433,320,13,12,10
2,433,404,18,12,10
1,434,323,16,12,10
2,434,407,20,12,10
1,435,324,16,12,10
2,435,407,20,12,10
1,436,323,17,12,10
2,436,406,21,12,10
1,437,322,16,12,10
2,437,410,20,12,10
1,438,323,16,12,10
2,438,410,20,12,10
1,439,321,16,12,10
2,439,410,21,12,10
1,440,323,15,12,10
2,440,411,20,12,10
1,441,323,16,12,10
2,441,410,21,12,10
1,442,320,16,12,10
2,442,408,21,12,10
1,443,324,15,12,10
2,443,408,20,12,10
1,444,325,14,12,10
2,444,409,19,12,10
1,445,323,17,12,10
2,445,408,22,12,10
1,446,324,19,12,10
2,446,408,24,12,10
1,447,324,17,12,10
2,447,408,21,12,10
1,448,326,15,12,10
2,448,409,21,12,10
1,449,326,19,12,10
2,449,410,23,12,10
1,450,323,20,12,10
2,450,408,25,12,10
1,451,325,17,12,10
2,451,410,22,12,10
1,452,326,17,12,10
2,452,410,22,12,10
1,453,326,20,12,10
2,453,410,25,12,10
1,454,326,19,12,10
2,454,410,23,12,10
1,455,326,19,12,10
2,455,411,23,12,10
1,456,326,20,12,10
2,456,410,23,12,10
1,457,327,20,12,10
2,457,412,24,12,10
1,458,326,20,12,10
2,458,411,23,12,10
1,459,325,20,12,10
2,459,410,23,12,10
