ICAO,CALLSIGN,ALTITUDE,LONGITUDE,LATITUDE,TIMESTAMP,DISTANCE,BHATDOTRHAT,BHATDOTRHATV,DF,TC,ALTCOR,ARCANG,T,AS,M,RP,RSURF,H,PBARO,VRATE,GS,HDNG,MHDNG,ROLL,TRACK,RTRACK
4066cd,TOM3KM,10418.283534662194,-3.2042773827593196,50.380278857481805,2.53507325,42.429029065425894,-0.9226101227896429,0.06851112617254967,17,19,175.0,0.006645183315271417,0.0,0.0,0.0,6368.613835743387,6365.491682922022,3.1221528213650362,0.0,-1536.0,259.0,75.0,78.75,-0.5,15.117,0.0
4066cd,TOM3KM,10411.281299996419,-3.204155907992338,50.38061221986977,2.81658325,42.39787016598924,-0.9224122130051169,0.06851600324484221,20,16,175.0,0.0066403035093839805,0.0,0.0,0.0,6368.611579050496,6365.491560510258,3.1200185402389082,0.0,-1536.0,259.0,75.0,78.93,-0.5,15.117,0.0
4066cd,TOM3KM,10410.869874247815,-3.2041487705784513,50.38063180702681,2.83312375,42.39603938279812,-0.9224005845486111,0.06851628980380728,20,16,175.0,0.00664001678980286,0.0,0.0,0.0,6368.61144645546,6365.491553317789,3.1198931376707337,0.0,-1536.0,259.0,75.0,78.93,-0.5,15.117,0.0
4066cd,TOM3KM,10406.309759400321,-3.2040696617060767,50.38084890497447,3.0164535,42.375747552156234,-0.9222716983587077,0.06851946593411926,21,16,175.0,0.006636838879272532,0.0,0.0,0.0,6368.6099768133745,6365.4914735987095,3.118503214665218,0.0,-1536.0,259.0,75.0,78.93,-0.5,15.117,0.0
4066cd,TOM3KM,10404.675056861597,-3.204041302886435,50.380926729892934,3.08217325,42.368473369778165,-0.9222250553755437,0.06852040391166159,20,16,175.0,0.006635699667084792,0.0,0.0,0.0,6368.609449978475,6365.491445021144,3.118004957331415,0.0,-1536.0,259.0,75.0,78.93,-0.5,15.117,0.0
4066cd,TOM3KM,10404.476501434723,-3.2040378583468896,50.380936182719694,3.09015575,42.367589827755666,-0.9222191519010514,0.06852040931293372,20,16,175.0,0.006635561295266752,0.0,0.0,0.0,6368.609385987672,6365.491441550034,3.1179444376373033,0.0,-1536.0,259.0,75.0,78.93,-0.5,15.117,0.0
4066cd,TOM3KM,10400.0,-3.2039602,50.3811493,3.270124,42.34767006432438,-0.9220860560071216,0.06852053108650004,17,11,175.0,0.006632441654309408,0.0,0.0,0.0,6368.607943292669,6365.491363292669,3.11658,0.0,-1536.0,259.0,75.0,78.93,-0.5,15.117,0.0
4066cd,TOM3KM,10400.0,-3.2039602,50.3811493,3.270124,42.34767006432438,-0.9220860560071216,0.06852053108650004,17,11,175.0,0.006632441654309408,0.0,0.0,0.0,6368.607943292669,6365.491363292669,3.11658,0.0,-1536.0,259.0,75.0,78.93,-0.5,15.117,0.0
4066cd,TOM3KM,10398.35832315021,-3.203928557225946,50.381222446553714,3.3339295,42.34098365706652,-0.9220388685167719,0.06852057425980025,21,16,175.0,0.006631395020267361,0.0,0.0,0.0,6368.607416050471,6365.491336433575,3.1160796168961844,0.0,-1536.0,259.0,75.0,78.93,-0.5,15.117,0.0
4066cd,TOM3KM,10393.051185370336,-3.203826263914285,50.381458911384634,3.540197,42.31936814572251,-0.9218863229577571,0.06852071382846911,17,19,175.0,0.006628011509641034,0.0,0.0,0.0,6368.605711606026,6365.4912496047245,3.114462001300878,0.0,-1536.0,258.0,75.0,78.93,-0.5,15.117,0.0
4066cd,TOM3KM,10386.078056463326,-3.2036918591789787,50.381769606116215,3.811215,42.29096719718028,-0.9216858910316753,0.0685208972098622,11,14,175.0,0.006623565863657416,0.0,0.0,0.0,6368.603472110591,6365.491135518981,3.112336591610022,0.0,-1536.0,258.0,75.0,78.93,-0.5,15.117,0.0
4066cd,TOM3KM,10366.826976514896,-3.2033208010299994,50.3826273572344,4.5594285,42.212559220174704,-0.9211325481801845,0.06852140348041968,20,16,175.0,0.006611292537379593,0.0,0.0,0.0,6368.597289418969,6365.490820556527,3.10646886244174,0.0,-1536.0,258.0,75.0,78.93,-0.5,15.117,0.0
4066cd,TOM3KM,10361.679026495787,-3.2032215760093643,50.38285672929545,4.759509,42.19159206675758,-0.9209845782298993,0.06852153886272204,21,16,175.0,0.006608010515258459,0.0,0.0,0.0,6368.595636099387,6365.490736332111,3.1048997672759158,0.0,-1536.0,258.0,75.0,78.93,-0.5,15.117,0.0
4066cd,TOM3KM,10361.347213798228,-3.203215180430223,50.382871513542,4.77240525,42.190240622452635,-0.9209750407813655,0.06852154758882986,21,16,175.0,0.006607798971515918,0.0,0.0,0.0,6368.595529534166,6365.490730903401,3.1047986307657,0.0,-1536.0,258.0,75.0,78.93,-0.5,15.117,0.0
4066cd,TOM3KM,10356.048676068302,-3.203113052881658,50.383107595189095,4.9783385,42.1686601383653,-0.9208227424176341,0.06852168693133208,21,16,175.0,0.006604420943762204,0.0,0.0,0.0,6368.59382785172,6365.490644215254,3.103183636465618,0.0,-1536.0,258.0,75.0,78.93,-0.5,15.117,0.0
4066cd,TOM3KM,10356.038384310696,-3.2031128545114607,50.38310805374865,4.9787385,42.16861822093023,-0.9208224465968013,0.06852168720198776,21,31,175.0,0.006604414382358927,0.0,0.0,0.0,6368.59382454641,6365.490644046873,3.1031804995379,0.0,-1536.0,258.0,75.0,78.93,-0.5,15.117,0.0
4066cd,TOM3KM,10348.648117603228,-3.2029704095840965,50.38343733447207,5.265969,42.13851830634796,-0.9206100246825948,0.06852188155339328,4,29,175.0,0.006599702794498721,0.0,0.0,0.0,6368.591451082679,6365.490523136434,3.1009279462454638,0.0,-1536.0,258.0,75.0,78.93,-0.5,15.117,0.0
